Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG-90,npxG-90,xAG-90,npxG+xAG-90,PrgC-90,PrgP-90,PrgR-90,Gls-90,Ast-90,G+A-90,G-PK-90,G+A-PK-90,xG-90,xAG-90,xG+xAG-90,npxG-90,npxG+xAG-90,Matches
1,Friederike Abt,de GER,GK,Leverkusen,30,1994,20,20,"1,800",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
2,Adriana Achci?ska,pl POL,MF,Köln,22,2002,22,22,"1,876",20.8,2,0,2,2,0,1,4,0,2.3,1.4,1.4,2.9,12,69,16,0.1,0,0.1,0.1,0.1,0.11,0.07,0.18,0.07,0.14,Matches
3,Rebecca Adamczyk,de GER,GK,Freiburg,19,2005,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
4,Anna Aehling,de GER,DF,Eint Frankfurt,23,2001,11,2,339,3.8,0,1,1,0,0,0,0,0,0.3,0.3,0.1,0.4,3,14,4,0,0.27,0.27,0,0.27,0.09,0.02,0.11,0.09,0.11,Matches
5,Sara Agrež,si SVN,DF,Köln,23,2000,10,8,779,8.7,0,0,0,0,0,0,1,0,0.6,0.6,0.7,1.3,7,34,10,0,0,0,0,0,0.07,0.08,0.15,0.07,0.15,Matches
6,Mara Alber,de GER,"FW,MF",Hoffenheim,18,2005,6,1,131,1.5,0,1,1,0,0,0,0,0,0.3,0.3,0.5,0.8,5,4,13,0,0.69,0.69,0,0.69,0.21,0.31,0.52,0.21,0.52,Matches
7,Aline Allmann,de GER,GK,Essen,29,1994,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
8,Lydia Andrade,ch SUI,"DF,MF",RB Leipzig,25,1999,15,9,878,9.8,1,2,3,1,0,0,4,0,2.2,2.2,1.5,3.7,26,21,56,0.1,0.21,0.31,0.1,0.31,0.22,0.16,0.38,0.22,0.38,Matches
9,Nicole Anyomi,de GER,"FW,MF",Eint Frankfurt,24,2000,22,15,"1,323",14.7,14,6,20,14,0,0,0,0,9.6,9.6,3.2,12.8,39,48,124,0.95,0.41,1.36,0.95,1.36,0.65,0.22,0.87,0.65,0.87,Matches
10,Amira Arfaoui,ch SUI,"MF,FW",Werder Bremen,24,1999,20,9,839,9.3,1,1,2,1,0,0,3,0,1,1,0.4,1.4,17,32,42,0.11,0.11,0.21,0.11,0.21,0.11,0.05,0.15,0.11,0.15,Matches
11,Emilía Ásgeirsdóttir,is ISL,"FW,MF",RB Leipzig,19,2005,10,6,557,6.2,2,0,2,2,0,0,0,0,1,1,0.4,1.5,9,10,35,0.32,0,0.32,0.32,0.32,0.17,0.07,0.24,0.17,0.24,Matches
12,Alina Axtmann,de GER,DF,Freiburg,19,2005,14,10,927,10.3,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,6,25,1,0,0,0,0,0,0.05,0,0.05,0.05,0.05,Matches
13,Lany Bäcker,de GER,MF,Essen,16,2008,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
14,Paulina Bartz,de GER,"MF,FW",Leverkusen,19,2005,3,0,30,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,1,0,0,0,0,0,0,0.27,0,0.27,0.27,0.27,Matches
15,Sharon Beck,il ISR,MF,Werder Bremen,29,1995,3,1,137,1.5,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,9,1,0,0,0,0,0,0.14,0,0.14,0.14,0.14,Matches
16,Lineth Beerensteyn,nl NED,"FW,MF",Wolfsburg,27,1996,20,17,"1,514",16.8,17,1,18,17,0,1,2,0,15.2,14.5,1.6,16.1,35,19,113,1.01,0.06,1.07,1.01,1.07,0.9,0.1,1,0.86,0.96,Matches
17,Loreen Bender,de GER,MF,Leverkusen,18,2005,13,11,770,8.6,1,3,4,1,0,0,2,0,1.6,1.6,2.5,4.1,16,21,40,0.12,0.35,0.47,0.12,0.47,0.19,0.29,0.48,0.19,0.48,Matches
