Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG-90,npxG-90,xAG-90,npxG+xAG-90,PrgC-90,PrgP-90,PrgR-90,Gls-90,Ast-90,G+A-90,G-PK-90,G+A-PK-90,xG-90,xAG-90,xG+xAG-90,npxG-90,npxG+xAG-90,Matches
1,Kerry Abello,us USA,DF,Pride,24,1999,26,25,"2,108",23.4,1,2,3,1,0,0,2,0,0.6,0.6,1.2,1.9,56,93,62,0.04,0.09,0.13,0.04,0.13,0.03,0.05,0.08,0.03,0.08,Matches
2,Emeri Adames,us USA,"FW,MF",Reign,17,2006,21,6,540,6,1,0,1,1,0,0,0,0,1.3,1.3,0.4,1.7,9,10,53,0.17,0,0.17,0.17,0.17,0.21,0.07,0.28,0.21,0.28,Matches
3,Adriana,br BRA,"FW,MF",Pride,27,1996,23,19,"1,681",18.7,6,1,7,4,2,2,0,0,6.9,5.4,3.8,9.2,78,56,119,0.32,0.05,0.37,0.21,0.27,0.37,0.2,0.58,0.29,0.49,Matches
4,Amirah Ali,us USA,FW,Wave,25,1998,14,4,572,6.4,1,0,1,1,0,0,0,0,2,2,0.9,2.9,7,8,40,0.16,0,0.16,0.16,0.16,0.31,0.14,0.45,0.31,0.45,Matches
5,Aline,br BRA,"FW,MF",Courage,18,2005,7,5,371,4.1,1,0,1,1,0,0,0,0,1,1,0.4,1.4,11,7,36,0.24,0,0.24,0.24,0.24,0.25,0.09,0.35,0.25,0.35,Matches
6,Amanda Allen,ca CAN,"DF,MF",Pride,18,2005,8,0,87,1,0,1,1,0,0,0,1,0,0.2,0.2,0.7,0.9,0,3,10,0,1.03,1.03,0,1.03,0.21,0.75,0.95,0.21,0.95,Matches
7,Michelle Alozie,ng NGA,"FW,DF",Dash,26,1997,24,14,"1,348",15,0,1,1,0,0,0,3,0,2.4,2.4,0.7,3,33,16,109,0,0.07,0.07,0,0.07,0.16,0.04,0.2,0.16,0.2,Matches
8,Angelina Anderson,us USA,GK,Angel City,22,2001,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
9,Hannah Anderson,us USA,DF,Red Stars,22,2001,16,15,"1,360",15.1,0,1,1,0,0,0,3,0,0.1,0.1,1,1.1,5,23,0,0,0.07,0.07,0,0.07,0.01,0.07,0.07,0.01,0.07,Matches
10,Joelle Anderson,us USA,MF,Bay FC,25,1998,17,10,916,10.2,3,2,5,3,0,0,2,0,1.4,1.4,1.1,2.6,17,58,29,0.29,0.2,0.49,0.29,0.49,0.14,0.11,0.25,0.14,0.25,Matches
11,Andressa,br BRA,"MF,FW",Dash,31,1992,24,15,"1,183",13.1,1,1,2,1,0,0,3,0,3.2,3.2,2,5.1,18,45,48,0.08,0.08,0.15,0.08,0.15,0.24,0.15,0.39,0.24,0.39,Matches
12,Angelina,br BRA,"MF,FW",Pride,24,2000,21,16,"1,483",16.5,2,2,4,2,0,0,1,0,2,2,3.5,5.5,14,68,39,0.12,0.12,0.24,0.12,0.24,0.12,0.21,0.33,0.12,0.33,Matches
13,Mackenzie Arnold,au AUS,GK,Thorns,29,1994,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
14,Ary Borges,br BRA,"MF,FW",Louisville,24,1999,14,10,826,9.2,1,2,3,1,0,0,3,0,1.2,1.2,0.3,1.5,6,45,19,0.11,0.22,0.33,0.11,0.33,0.13,0.04,0.17,0.13,0.17,Matches
15,Kimmi Ascanio,us USA,MF,Wave,16,2008,6,2,148,1.6,0,1,1,0,0,0,0,0,0.2,0.2,0,0.2,3,4,2,0,0.61,0.61,0,0.61,0.1,0.02,0.12,0.1,0.12,Matches
16,Olivia Athens,us USA,"MF,FW",Reign,24,1999,20,8,691,7.7,1,0,1,1,0,0,2,0,0.3,0.3,0.3,0.6,0,36,27,0.13,0,0.13,0.13,0.13,0.03,0.05,0.08,0.03,0.08,Matches
17,Rosella Ayane,ma MAR,FW,Red Stars,27,1996,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0.06,0.06,0,0.06,Matches
